"Name","PCGamingWiki","Category","Info","Product fit","Actionable feedback"
"Tales of Maj'Eyal","yes","Permadeath roguelike/roguelite runs","**Context:** A high-level character can carry a specialized talent build, artifacts, inscriptions, escorts, and quest progress that are expensive to reproduce.

**How progress is saved:** Permadeath depends on mode; the character is persisted for continuation, but normal play does not provide arbitrary rollback slots.

**SaveScummer value:** Checkpoint before a vault, major boss, or late-game dungeon. Restore the exact build after a fatal mistake rather than losing the character permanently.","Keep",""
"Dungeon Crawl Stone Soup","yes","Permadeath roguelike/roguelite runs","**Context:** A late character may have a rare combination of god, mutations, skills, equipment, and rune progress, all erased by one death.

**How progress is saved:** Local characters are saved for continuation, but the normal roguelike flow has no reusable manual rollback points.

**SaveScummer value:** Checkpoint before a rune branch, vault, Abyss trip, or other high-risk push. Restore the same character after a tactical mistake instead of starting from a new seed.","Keep",""
"Shiren the Wanderer: The Tower of Fortune and the Dice of Fate","yes","Permadeath roguelike/roguelite runs","**Context:** A failed dungeon expedition can cost upgraded weapons, shields, bracelets, consumables, money, and the current dungeon position.

**How progress is saved:** Suspend preserves an expedition for continuation, not as a set of earlier dungeon checkpoints.

**SaveScummer value:** Checkpoint before pushing deeper with valuable upgraded gear. If a floor, trap chain, or boss kills the run, restore the same loadout instead of rebuilding it.","Keep",""
"Noita","yes","Permadeath roguelike/roguelite runs","**Context:** A long run can contain custom wands, stacked perks, rare spells, parallel-world progress, and hours of irreversible world changes.

**How progress is saved:** Save & Quit persists the whole active world/run across a large save set, so a safe checkpoint needs the complete save state.

**SaveScummer value:** Checkpoint before testing a volatile wand, entering a dangerous biome or boss, or starting a parallel-world expedition. Restore after polymorph, self-damage, or another sudden run-ending mistake.","Keep",""
"The Binding of Isaac: Rebirth","yes","Permadeath roguelike/roguelite runs","**Context:** A rare item synergy or completion-mark run can be hard to reproduce once a late death ends it.

**How progress is saved:** An active run has continuation data for Continue, but the game does not keep a reusable history of earlier run states.

**SaveScummer value:** Checkpoint before a late boss, sacrifice sequence, or route decision. Restore the exact build after failure instead of rerolling until the same synergy appears again.","Keep",""
"Catacomb Kids","yes","Permadeath roguelike/roguelite runs","**Context:** A good run can hinge on a particular kid, weapon, spell set, stats, and resources that are hard to recreate.

**How progress is saved:** Permadeath runs can be saved between floors; that floor transition is the reliable serialization boundary.

**SaveScummer value:** Checkpoint between floors before a dangerous area or boss. If the next floor kills the run, retry it with the same build rather than rerolling a new kid.","Keep",""
"Vagante","yes","Permadeath roguelike/roguelite runs","**Context:** A late run can have a rare combination of class levels, enchanted equipment, spells, and stats that disappears on death.

**How progress is saved:** The run can be resumed around level transitions, giving SaveScummer a stable state to version.

**SaveScummer value:** Checkpoint before a boss or difficult biome when the build is unusually strong. Restore after death instead of depending on another procedural run to recreate it.","Keep",""
"Void War","no","Permadeath roguelike/roguelite runs","**Context:** A promising run can hinge on a specific starship build (weapons, modules, reactor power, crew, wargear and artifacts) that is expensive to recreate after one lost fight.

**How progress is saved:** The active run is autosaved and persistent progression is stored separately; permadeath still ends a run rather than leaving reusable rollback points.

**SaveScummer value:** Checkpoint before a dangerous encounter, boss, or boarding action. Restore the same ship, crew and build after a fatal fight instead of starting a new galaxy.","Keep",""
"Caveblazers","yes","Permadeath roguelike/roguelite runs","**Context:** The useful case would be protecting a strong perk/equipment build before a late cave or boss.

**How progress is saved:** The released game does not normally save and resume an active run.

**SaveScummer value:** A file-only SaveScummer cannot currently deliver that rollback reliably. Keep this candidate only if hands-on testing finds recoverable live-run state.","Keep",""
"Streets of Rogue","yes","Permadeath roguelike/roguelite runs","**Context:** A good run can carry a strong character build, followers, items, money, and mission progress into the later districts.

**How progress is saved:** The game autosaves between levels; resume is coarser than an arbitrary mid-floor quicksave.

**SaveScummer value:** Checkpoint before a difficult district or risky mission. Restore the previous floor state after a bad outcome instead of rebuilding the whole city run.","Keep",""
"Nuclear Throne","yes","Permadeath roguelike/roguelite runs","**Context:** The desired use case is protecting a late mutant build with specific mutations, crown, weapons, and loop progress.

**How progress is saved:** The game does not normally save an active run for later continuation; local saves mainly cover persistent progression.

**SaveScummer value:** A file-only SaveScummer cannot restore the live run. Preserving a pre-Throne or loop checkpoint would require runtime capture rather than ordinary save-file versioning.","Keep",""
"Teleglitch: Die More Edition","yes","Permadeath roguelike/roguelite runs","**Context:** A late run can be resource-starved but valuable, with a specific weapon, ammo, armor, and crafting setup.

**How progress is saved:** The game uses single-use exit saves at level boundaries; Steam builds need restore testing because cloud/API behavior can interfere with copied saves.

**SaveScummer value:** Checkpoint before loading into a dangerous later level. If the run dies, restore the same inventory and resource state instead of restarting, provided the platform-specific restore works.","Keep",""
"Crypt of the NecroDancer","yes","Permadeath roguelike/roguelite runs","**Context:** Long Deathless, Story, or All-Characters sessions can represent substantial progress that one rhythm mistake can erase.

**How progress is saved:** Current versions can save and resume these sessions, giving SaveScummer a real serialized run state to version.

**SaveScummer value:** Checkpoint before a difficult zone or boss sequence. Restore a long multi-character session after failure instead of repeating all earlier characters or zones.","Keep",""
"Dome Keeper","yes","Permadeath roguelike/roguelite runs","**Context:** A run can hinge on a particular gadget, upgrade path, mined resource haul, and defense setup.

**How progress is saved:** The active run is persisted for resume; checkpoints are safest around known exit/autosave boundaries.

**SaveScummer value:** Checkpoint before an expensive upgrade choice or a wave that will test the build. Restore to compare upgrade paths or retry the defense without replaying the whole mine.","Keep",""
"Star of Providence","yes","Permadeath roguelike/roguelite runs","**Context:** A strong run can have rare weapons, upgrades, health, and floor progress that are tedious to reproduce.

**How progress is saved:** Continue resumes from a floor-start state rather than the exact room where you quit.

**SaveScummer value:** Checkpoint at the start of a late floor before a boss or difficult section. Restore the same build after death instead of starting from the first area.","Keep",""
"Slasher's Keep","yes","Permadeath roguelike/roguelite runs","**Context:** A developed character can carry strong weapons, traits, stats, and inventory into floors where one failed push can undo hours of progress.

**How progress is saved:** The save pedestal / Save & Exit state is mainly for continuation and must be captured before the loss is committed.

**SaveScummer value:** Checkpoint after saving and before a dangerous floor or boss. Restore the same character after a fatal setback instead of rebuilding the loadout.","Keep",""
"Slay the Spire","yes","Permadeath roguelike/roguelite runs","**Context:** A late deck can contain a rare card/relic engine that may take many runs to see again.

**How progress is saved:** The game autosaves the current run and Save & Quit resumes it, but earlier deck/path states are normally overwritten.

**SaveScummer value:** Checkpoint before an Act boss, Elite path, event, shop, or build-defining reward. Restore to retry or compare the decision without rerolling the entire deck.","Keep",""
"Monster Train","yes","Permadeath roguelike/roguelite runs","**Context:** A late deck may depend on a very specific clan, unit-upgrade, artifact, removal, and spell package.

**How progress is saved:** The campaign is saved on the world map; combat is not normally serialized turn-by-turn and usually restarts as a whole.

**SaveScummer value:** Checkpoint before a merchant, banner, artifact choice, or difficult ring. Restore to compare build decisions or retry from the pre-combat state, not individual combat turns.","Keep",""
"One Step from Eden","yes","Permadeath roguelike/roguelite runs","**Context:** A late run can have a rare spell/artifact synergy and route that is difficult to rebuild after one failed fight.

**How progress is saved:** The game can save an active run while out of battle, giving SaveScummer a documented between-battle state.

**SaveScummer value:** Checkpoint before a boss, route choice, or ending-critical encounter. Restore the same deck and route after failure instead of rebuilding the combo from scratch.","Keep",""
"Voidigo","yes","Permadeath roguelike/roguelite runs","**Context:** A late run can carry a strong weapon, upgrades, boss rewards, and health state that disappears on death.

**How progress is saved:** The run can be saved in the Anti-Void between levels; that inter-level transition is the reliable checkpoint boundary.

**SaveScummer value:** Checkpoint between stages before the next biome or boss. Restore the same build after death instead of rerolling its weapons and upgrades.","Keep",""
"OTXO","yes","Permadeath roguelike/roguelite runs","**Context:** A good mansion run can have a preferred gun set, drink upgrades, money, and room progress that took several floors to assemble.

**How progress is saved:** Save & Exit preserves the active run for continuation.

**SaveScummer value:** Checkpoint before a difficult mansion section or boss. Restore the same loadout after a failed room sequence instead of rebuilding it from the start.","Keep",""
"ScourgeBringer","yes","Permadeath roguelike/roguelite runs","**Context:** A strong run can have a valuable combination of blessings, items, health, and upgrades before a difficult boss or region.

**How progress is saved:** Save & Exit provides a clean run-save boundary; arbitrary live combat state should not be assumed to be on disk.

**SaveScummer value:** Checkpoint at Save & Exit before a boss or new area. Restore the same build after failure instead of rerolling another run.","Keep",""
"UnReal World","yes","Hardcore one-life characters or worlds","**Context:** A long-lived survivor can represent seasons of shelters, traps, livestock, stored food, crafted gear, and learned skills.

**How progress is saved:** Each survivor is persisted in a character folder, and death is permanent.

**SaveScummer value:** Checkpoint before a bear/Njerpez fight, winter journey, or expedition far from home. Restore the whole survivor after a fatal mistake instead of losing months of survival progress.","Keep",""
"The Long Dark","yes","Hardcore one-life characters or worlds","**Context:** A Survival run can represent hundreds of in-game days, stocked bases, crafted clothing, mapped routes, and maxed skills.

**How progress is saved:** Survival autosaves, and death normally ends the run; Cheat Death exists but has limited uses and penalties.

**SaveScummer value:** Checkpoint before a bear/moose encounter, thin ice, timberwolf territory, or a long blizzard-prone trek. Restore without spending a Cheat Death use or accepting its penalties.","Keep",""
"Project Zomboid","yes","Hardcore one-life characters or worlds","**Context:** A mature survivor and Knox Country world can contain months of skills, bases, vehicles, crops, generators, and carefully moved loot.

**How progress is saved:** The survivor and persistent world are saved together continuously rather than through manual slots, so a useful rollback must restore the matching save state.

**SaveScummer value:** Checkpoint before Louisville runs, clearing dense buildings, moving loaded vehicles, or continuing after a suspicious bite. Restore both character and world after a fatal mistake.","Keep",""
"Terraria","yes","Hardcore one-life characters or worlds","**Context:** Hardcore is mostly an optional challenge, but it is specifically required for the **Extra Life** achievement.

**How progress is saved:** Character and world saves are separate, so checkpoint both when you want a clean pre-attempt rollback.

**SaveScummer value:** Checkpoint before the **Extra Life** attempt or another high-risk Hardcore milestone. If the character is lost or the attempt goes wrong, restore instead of rebuilding the geared Hardcore character.","Keep","Keep specifically for Hardcore-character play; normal-mode saving is not the value proposition."
"My Summer Car","yes","Hardcore one-life characters or worlds","**Context:** Permadeath has its own achievements, including **And it is gone!** for dying with permadeath enabled, while the same save may contain hours of Satsuma work and money progression.

**How progress is saved:** Permadeath can remove the main save on death, so the checkpoint must be taken before the fatal attempt.

**SaveScummer value:** Checkpoint before intentionally earning the death achievement, a rally, or another risky drive. Restore afterward and keep the same car/build instead of sacrificing the whole permadeath save.","Keep","Keep specifically for permadeath-mode achievement runs."
"Torchlight II","yes","Hardcore one-life characters or worlds","**Context:** Several achievements are tied to Hardcore characters, where one death can erase a high-level build and its gear.

**How progress is saved:** Hardcore character progress is stored in local save data and death permanently ends that character.

**SaveScummer value:** Checkpoint before an act boss, Phase Beast challenge, or dangerous Mapworks run. Restore a dead achievement-run character instead of leveling and gearing another one from scratch.","Keep","Keep specifically for Hardcore achievement runs."
"Grim Dawn","yes","Hardcore one-life characters or worlds","**Context:** Grim Dawn has multiple Hardcore-only achievements, including high-level and Ultimate-difficulty goals that can take a long time to reach.

**How progress is saved:** Hardcore character progress is stored locally and death permanently ends the character.

**SaveScummer value:** Checkpoint before a nemesis, roguelike dungeon, celestial boss, or deep Shattered Realm push. Restore the same achievement-run character after a death instead of rebuilding its level, devotion map, and gear.","Keep","Keep specifically for Hardcore achievement runs."
"Darkwood","yes","Hardcore one-life characters or worlds","**Context:** Nightmare makes death final, while even normal play relies on autosaves rather than free manual rollback.

**How progress is saved:** The current autosave is overwritten as the game advances; Nightmare death ends the playthrough.

**SaveScummer value:** Checkpoint before a dangerous night defense, Silent Forest/Old Woods expedition, or irreversible story choice. Restore after a fatal night or bad outcome instead of replaying the region.","Keep","Keep even apart from Nightmare mode: the normal autosave flow itself restricts rollback."
"Don't Starve","yes","Hardcore one-life characters or worlds","**Context:** A single world can contain seasons of base building, resource networks, explored map, boss loot, and winter preparation, all lost if the survivor dies without resurrection.

**How progress is saved:** The current world is saved automatically; a terminal death ends that run rather than leaving a normal rollback slot.

**SaveScummer value:** Checkpoint before a boss, winter expedition, cave trip, or other stretch where resurrection is uncertain. Restore the same base and world instead of generating and rebuilding a new one.","Keep",""
"Battle Brothers","yes","Ironman / single-save campaigns","**Context:** Battle Brothers has Ironman-specific achievements, while a single bad battle can kill veteran brothers and destroy famed gear built over a long campaign.

**How progress is saved:** Ironman keeps one automatically updated campaign state with no normal pre-battle rollback.

**SaveScummer value:** Checkpoint before a legendary location, crisis battle, or dangerous contract. Restore after a company-wrecking casualty instead of restarting an Ironman achievement run.","Keep","Keep specifically for Ironman achievement runs."
"XCOM 2","yes","Ironman / single-save campaigns","**Context:** The **Valhalla** achievement requires finishing on Commander+ in Ironman, so a late squad wipe can waste a long achievement attempt.

**How progress is saved:** Ironman maintains one campaign save and commits tactical casualties and mission results as it advances.

**SaveScummer value:** Checkpoint before a Chosen/Alien Ruler fight, retaliation, facility assault, or critical tactical turn. Restore after a wipe or veteran loss instead of restarting the Valhalla run.","Keep","Keep specifically for Ironman achievement runs."
"Gears Tactics","yes","Ironman / single-save campaigns","**Context:** The **I am Ironman** achievement requires completing the campaign with Ironman enabled.

**How progress is saved:** Ironman removes normal manual rollback and commits campaign progress through autosaves.

**SaveScummer value:** Checkpoint before a difficult mission or fail-critical hero deployment. Restore after a disastrous turn or mission loss instead of replaying the campaign for the achievement.","Keep","Keep specifically for Ironman achievement runs."
"Warhammer 40,000: Chaos Gate - Daemonhunters","yes","Ironman / single-save campaigns","**Context:** The **Grand Master** achievement requires winning in Grand Master mode, where losses and strategic mistakes are committed.

**How progress is saved:** Grand Master uses a single campaign save instead of freely reloadable manual slots.

**SaveScummer value:** Checkpoint before a difficult Bloom mission, boss, or deployment with veteran Knights. Restore after a roster-wrecking loss or strategic spiral instead of restarting the Grand Master run.","Keep","Keep specifically for Grand Master mode."
"Stellaris","yes","Ironman / single-save campaigns","**Context:** Most Stellaris achievements no longer need Ironman, but **Victorious** specifically requires winning in Ironman Mode.

**How progress is saved:** Ironman keeps one evolving autosave rather than a library of manual rollback saves.

**SaveScummer value:** Checkpoint before a major war, federation/subject change, crisis decision, or other empire-defining commitment. The clearest payoff is protecting a long **Victorious** attempt from one disastrous branch.","Keep","Narrow keep: most achievements no longer need Ironman; value is tied to the remaining Ironman-specific goal."
"Europa Universalis IV","yes","Ironman / single-save campaigns","**Context:** EU4 achievements require Ironman, so an achievement run can represent centuries of setup that one war, succession, peace deal, or bad click can ruin.

**How progress is saved:** Ironman keeps one evolving campaign save and disables normal manual branching.

**SaveScummer value:** Checkpoint before a major war, PU/succession play, peace deal, or achievement-critical decision. Restore the campaign without abandoning the Ironman achievement attempt.","Keep","Keep specifically for Ironman-compatible achievement runs."
"Baldur's Gate 3","yes","Ironman / single-save campaigns","**Context:** Completing Honour Mode awards **Foehammer**, but a party wipe can end eligibility after dozens of hours.

**How progress is saved:** Honour Mode keeps a single campaign save, so there is no normal earlier save to return to after a disaster.

**SaveScummer value:** Checkpoint before a dangerous boss, high-stakes dialogue, or other run-ending situation. Restore after a wipe instead of restarting the entire Foehammer attempt.","Keep",""
"Crusader Kings II","yes","Ironman / single-save campaigns","**Context:** CK2 achievements are tied to Ironman-compatible campaigns, where a bad succession, ruler death, or war can undo decades of setup.

**How progress is saved:** Ironman continually overwrites one campaign save instead of keeping manual rollback slots.

**SaveScummer value:** Checkpoint before a succession, faction revolt, risky war, imprisonment, or inheritance play. Restore the dynasty after a disastrous outcome without abandoning the achievement run.","Keep",""
"Hearts of Iron IV","yes","Ironman / single-save campaigns","**Context:** HOI4 achievement runs require Ironman, and one failed offensive or diplomatic commitment can destroy years of buildup.

**How progress is saved:** Ironman relies on autosaves and exit saves rather than manual branching.

**SaveScummer value:** Checkpoint before a major offensive, declaration, focus/decision lock-in, or peace conference. Restore after a catastrophic encirclement or bad outcome instead of restarting the achievement campaign.","Keep",""
"Imperator: Rome","yes","Ironman / single-save campaigns","**Context:** Imperator achievement runs use Ironman, where a civil war, succession crisis, or disastrous war can erase decades of state-building.

**How progress is saved:** Ironman continually overwrites a single campaign state.

**SaveScummer value:** Checkpoint before a major war, civil-war threshold, succession, or high-impact political decision. Restore the realm after a cascade instead of restarting the achievement run.","Keep",""
"Europa Universalis V","yes","Ironman / single-save campaigns","**Context:** EU5 achievements require Ironman, so long achievement setups are exposed to the same one-save commitment as the rest of the campaign.

**How progress is saved:** Ironman keeps one evolving save with no normal manual rollback.

**SaveScummer value:** Checkpoint before a major war, peace settlement, succession, or achievement-critical decision. Restore after a campaign-breaking outcome instead of rebuilding the run from 1337.","Keep","Keep provisionally for achievement runs; recheck if the Ironman requirement changes."
"Star Trek: Infinite","yes","Ironman / single-save campaigns","**Context:** Achievements require Ironman, so a long faction run can be lost to a bad war, mission-chain choice, or diplomatic commitment.

**How progress is saved:** Ironman disables manual saving and uses automatic saves; current versions can use local Ironman saves without requiring cloud saves.

**SaveScummer value:** Checkpoint before a major war, faction mission choice, or diplomatic break. Restore after a run-derailing outcome without abandoning the achievement attempt.","Keep","Keep specifically for Ironman achievement runs."
"XCOM: Enemy Unknown","yes","Ironman / single-save campaigns","**Context:** The **No Looking Back** achievement requires beating the game in Ironman on Classic or Impossible.

**How progress is saved:** Ironman disables manual and multiple saves, committing tactical casualties and campaign state to one history.

**SaveScummer value:** Checkpoint before a terror mission, base assault, or difficult UFO operation. Restore after a squad wipe or veteran loss instead of restarting the No Looking Back run.","Keep","Keep specifically for Ironman achievement runs."
"BattleTech","yes","Ironman / single-save campaigns","**Context:** The **I Am Iron Man!** achievement requires completing a campaign with Iron Man enabled, where rare Mechs, weapons, pilots, and company finances are all at risk.

**How progress is saved:** Iron Man uses a single campaign save and disables the normal pre/post-mission save history.

**SaveScummer value:** Checkpoint before a high-skull contract or Priority Mission. Restore after losing a veteran pilot, rare chassis/weapon, or enough money to cripple the achievement run.","Keep","Keep specifically for Ironman achievement runs."
"Wildermyth","yes","Ironman / single-save campaigns","**Context:** The **Let Me Get My Chisel** achievement requires completing a Carved in Stone campaign, where hero deaths and story outcomes are committed.

**How progress is saved:** Carved in Stone keeps one save and removes the normal Load option.

**SaveScummer value:** Checkpoint before a chapter climax, risky transformation, or battle involving a key legacy hero. Restore after a permanent loss instead of replaying the whole Carved in Stone campaign.","Keep","Keep specifically for Carved in Stone runs."
"Total War: Shogun 2","yes","Ironman / single-save campaigns","**Context:** Legendary turns every bad siege, agent loss, or Realm Divide misstep into a committed campaign result after many turns of buildup.

**How progress is saved:** Legendary only exposes the latest automatic campaign state instead of normal manual saves.

**SaveScummer value:** Checkpoint before Realm Divide, a decisive siege, or a risky war declaration. Restore after a campaign-breaking loss instead of replaying dozens of turns.","Keep",""
"Total War: Rome II","yes","Ironman / single-save campaigns","**Context:** A Legendary campaign can lose veteran armies, provinces, and political stability to one bad war or civil conflict.

**How progress is saved:** Legendary restricts loading to the current/latest autosave rather than normal manual saves.

**SaveScummer value:** Checkpoint before a decisive siege, civil-war risk, or major declaration. Restore the pre-war campaign instead of rebuilding armies and provinces over many turns.","Keep",""
"Total War: Attila","yes","Ironman / single-save campaigns","**Context:** ATTILA campaigns can collapse quickly when one lost army or settlement triggers food, public-order, invasion, and migration problems.

**How progress is saved:** Legendary relies on an evolving autosave history rather than free manual rollback.

**SaveScummer value:** Checkpoint before a Hun battle, exposed-settlement defense, migration, or dangerous End Turn. Restore before the collapse instead of trying to recover from several cascading losses.","Keep",""
"Total War Saga: Thrones of Britannia","yes","Ironman / single-save campaigns","**Context:** Small kingdoms can be crippled by one lost army, succession problem, or declaration that opens multiple fronts.

**How progress is saved:** Legendary commits progress through automatic saves and disables normal manual rollback.

**SaveScummer value:** Checkpoint before an invasion, decisive siege, succession issue, or risky declaration. Restore the kingdom before one bad turn snowballs into a lost campaign.","Keep",""
"Total War: Warhammer II","yes","Ironman / single-save campaigns","**Context:** A Legendary campaign can invest dozens of turns into legendary lords, elite armies, settlements, and campaign objectives before one battle or End Turn cascade destroys them.

**How progress is saved:** Legendary restricts manual saving and maintains the campaign through automatic saves.

**SaveScummer value:** Checkpoint before a risky siege, confederation, war declaration, or dangerous End Turn. Restore before losing a key lord/army and the turns invested in building it.","Keep",""
"Total War: Three Kingdoms","yes","Ironman / single-save campaigns","**Context:** A Legendary campaign ties military progress to named characters, relationships, court positions, coalitions, and territory, so one death or diplomatic break can have long consequences.

**How progress is saved:** Legendary relies on automatic campaign saves instead of unrestricted manual rollback.

**SaveScummer value:** Checkpoint before a decisive battle, duel-heavy fight, coalition/vassal decision, or risky End Turn. Restore before losing a key character or diplomatic structure.","Keep",""
"Jagged Alliance 3","yes","Ironman / single-save campaigns","**Context:** The **Ironman** achievement requires the harshest campaign settings, including Dead is Dead and To The Bitter End.

**How progress is saved:** Those settings heavily restrict rollback and can autosave around tactical actions, so the exact captured state matters.

**SaveScummer value:** Checkpoint before storming a fortified sector, boss encounter, or fight where a favorite merc can die. Restore after a disastrous engagement instead of restarting the full Ironman challenge.","Keep","Keep specifically for the restrictive challenge/achievement configuration."
"Darkest Dungeon","yes","Permanent roster or asset loss","**Context:** A veteran hero can carry quirks, upgraded skills, rare trinkets, and weeks of investment, while death permanently removes that hero.

**How progress is saved:** The campaign autosaves continuously, so deaths and expedition outcomes are committed instead of sitting behind manual save slots.

**SaveScummer value:** Checkpoint before a Champion boss, Darkest Dungeon expedition, or other mission using irreplaceable heroes/trinkets. Restore after a death or disastrous retreat instead of training replacements for many weeks.","Keep",""
"State of Decay 2","yes","Permanent roster or asset loss","**Context:** A community can contain rare survivors, maxed skills, leader progress, vehicles, weapons, and a developed base, while survivor death is permanent.

**How progress is saved:** The game autosaves the community continuously rather than offering manual rollback slots.

**SaveScummer value:** Checkpoint before attacking a Plague Heart, entering a lethal zone, or taking a favorite survivor into a dangerous fight. Restore after a permanent death instead of rebuilding that survivor and their gear.","Keep",""
"Watch Dogs: Legion","yes","Permanent roster or asset loss","**Context:** Resistance Mode makes the whole campaign harsher while also forcing permadeath, so players may want its world rules without losing a rare operative to one mistake.

**How progress is saved:** The campaign is autosave-driven; a dead operative is committed to the current save.

**SaveScummer value:** Checkpoint before a difficult restricted-area infiltration or mission using a rare operative. Restore after a permanent death while keeping the rest of the Resistance Mode challenge intact.","Keep","Keep specifically for Resistance mode, which gives the restricted mode an independent reason to exist."
"This War of Mine","yes","Permanent roster or asset loss","**Context:** A shelter can depend on a small group of survivors, scarce food/medicine, relationships, and upgrades, while one bad scavenging night can permanently kill a key character.

**How progress is saved:** The game advances through automatic day/night saves rather than unrestricted manual slots.

**SaveScummer value:** Checkpoint before a dangerous scavenging trip, theft, combat, or critical winter decision. Restore after a death or catastrophic resource loss instead of replaying several days of shelter management.","Keep",""
"Kingdom Come: Deliverance","yes","Restricted or resource-gated saving","**Context:** Manual saves normally cost **Saviour Schnapps**, making frequent pre-risk saving deliberately inconvenient.

**How progress is saved:** SaveScummer can preserve the same game state externally without consuming another Schnapps.

**SaveScummer value:** Checkpoint before stealing, lockpicking, a difficult fight, or a risky dialogue. Retry freely without burning through Schnapps or falling back to an older autosave.","Keep",""
"Into the Breach","yes","Limited/coarse rollback systems","**Context:** A campaign can hinge on preserving pilots, Grid health, objectives, and a perfect island while each battle only gives limited correction.

**How progress is saved:** You normally get one Reset Turn per battle, not an unlimited history of earlier turns or pre-mission states.

**SaveScummer value:** Checkpoint before a difficult island mission or critical turn. Restore after spending Reset Turn and still losing a pilot, objective, or Grid instead of accepting the damaged timeline.","Keep",""
"Outward","yes","Limited/coarse rollback systems","**Context:** Defeat can trigger capture, relocation, lost time, lost items, or quest consequences instead of a simple reload.

**How progress is saved:** The game autosaves continuously; current versions expose a limited history of older autosaves rather than unrestricted manual slots.

**SaveScummer value:** Checkpoint before a dangerous dungeon, timed quest, or expedition with valuable gear. Restore a clean pre-defeat state when the built-in rollback history is too coarse or already overwritten.","Keep",""
